,ETHZ,FESOM,NorESM,MRI,IPSL
0,2.6282750322074575,2.9319357718364625,2.971099069296586,2.6912815025107406,2.8769990289495038
1,3.0040217550478108,3.4392276604673535,3.4828422679291977,3.137987891450088,3.4282441186671786
2,3.642776562126614,4.04976767090938,4.196411597803788,3.799542150847934,4.108962241726666
3,4.097511234669161,4.462770111653983,4.595895206404764,4.336998441560632,4.620565334659566
4,4.196028358947572,4.745806442454254,4.700269121459831,4.659996445299736,4.89215729406904
5,4.673697001579014,5.01240611040246,4.971035929893348,4.910568591635295,5.043179131178156
6,4.799095211693405,5.068294896839275,5.0194046433061885,5.017501836773735,5.178996793214901
7,4.809060877145066,5.038813852013234,4.967636955140943,5.03603245992554,5.224343309687655
8,4.862691616050114,5.101136790437945,5.0018672164793525,5.104005610344902,5.3589894855123426
9,5.031271834723039,5.07337700263152,5.078248396901968,5.108297256892401,5.515684934072401
