A,B,C,lat_deg,lon_deg
0.18223552549214747,-0.8472011005043402,-0.4990395861580881,10.5,-59.499999999999986
0.18223552549214747,-0.8103261194145742,-0.5569217121311739,10.5,-55.499999999999986
0.1993679344171972,-0.8443317005383555,-0.49734938040800747,11.5,-59.499999999999986
0.1993679344171972,-0.8355231612025393,-0.5120092516940836,11.500000000000002,-58.5
0.1993679344171972,-0.8264601134179265,-0.5265131600021489,11.5,-57.499999999999986
0.1993679344171972,-0.8171453178766674,-0.5408566873012297,11.5,-56.5
0.1993679344171972,-0.8075816119557189,-0.5550354644139625,11.5,-55.500000000000014
0.21643961393810288,-0.8141193984780996,-0.5388538749419757,12.5,-56.5
0.2334453638559054,-0.8378222781508432,-0.493515037590867,13.500000000000002,-59.499999999999986
0.2334453638559054,-0.8290816487408504,-0.5080618877807475,13.500000000000002,-58.5
0.2334453638559054,-0.820088473029157,-0.5224539773979039,13.5,-57.499999999999986
0.2334453638559054,-0.8108454904242034,-0.5366869224724196,13.500000000000002,-56.5
0.2334453638559054,-0.8013555164280299,-0.5507563875113473,13.5,-55.499999999999986
0.2334453638559054,-0.7916214417786474,-0.564658086819342,13.5,-54.5
0.25038000405444144,-0.8073245909790875,-0.5343564899672754,14.500000000000005,-56.5
0.25038000405444144,-0.7978758248882079,-0.5483648617742204,14.500000000000002,-55.499999999999986
0.25038000405444144,-0.7881840180918706,-0.5622061963321392,14.500000000000002,-54.5
0.25038000405444144,-0.7782521228083124,-0.5758762774364415,14.500000000000002,-53.499999999999986
0.25038000405444144,-0.7680831643890493,-0.5893709410479978,14.500000000000002,-52.499999999999986
0.25038000405444144,-0.7576802403973245,-0.6026860765615465,14.500000000000005,-51.5
0.25038000405444144,-0.7470465196645616,-0.6158176280578234,14.500000000000002,-50.5
0.26723837607825685,-0.7644994388594178,-0.5866210517316024,15.5,-52.499999999999986
0.26723837607825685,-0.7541450528724567,-0.5998740614321105,15.500000000000004,-51.5
0.31730465640509214,-0.8559429759899865,-0.40826385693207246,18.500000000000004,-64.49999999999999
0.31730465640509214,-0.8486874249640589,-0.4231399410733064,18.500000000000004,-63.5
0.31730465640509214,-0.39326341166507595,-0.8629377984937219,18.500000000000004,-24.5
0.31730465640509214,-0.3781431745532582,-0.8696697617845699,18.5,-23.5
0.3338068592337709,-0.9408832746953796,-0.05754688633613732,19.500000000000004,-86.49999999999999
0.3338068592337709,-0.9383017566563232,-0.09034818307051593,19.5,-84.49999999999999
0.3338068592337709,-0.9365820555422011,-0.10671004622260633,19.5,-83.49999999999999
0.3338068592337709,-0.9345770624610867,-0.12303940446089384,19.5,-82.49999999999999
0.3338068592337709,-0.9322873881532955,-0.13933128370467293,19.5,-81.5
0.3338068592337709,-0.929713730075802,-0.1555807212897033,19.5,-80.5
0.3338068592337709,-0.9268568721897883,-0.17178276747988455,19.5,-79.5
0.3338068592337709,-0.9237176847218413,-0.1879324869749944,19.5,-78.49999999999999
0.3338068592337709,-0.8770502036209339,-0.34547926284650415,19.5,-68.49999999999999
0.3338068592337709,-0.8708871801159841,-0.3607332813009011,19.5,-67.49999999999999
0.3338068592337709,-0.8644588759394974,-0.37587741690331194,19.5,-66.5
0.3338068592337709,-0.8577672492151984,-0.3909070566033278,19.5,-65.5
0.3338068592337709,-0.8508143382774104,-0.4058176222271006,19.5,-64.49999999999999
0.3338068592337709,-0.3758774169033119,-0.8644588759394974,19.5,-23.5
