,ETHZ,FESOM,MRI,NorESM,IPSL
0,0.45109430330660577,0.5774004452908819,0.5041683393790607,0.6179910648402389,0.5921307655092456
1,0.6211846014095397,0.7695912037783214,0.6901058038678032,0.821846897076986,0.7909024029270588
2,0.8258904261240134,0.9877535823232506,0.9055945142617404,1.0456129596701205,1.0118932393483255
3,1.0580342456471235,1.2211330660213442,1.1403587067181962,1.2796267330686835,1.2445887983041966
4,1.297616852454958,1.4558507010133679,1.3855498811574853,1.516295321813253,1.4809194744937193
5,1.543300480527155,1.6986443942430114,1.6420700643589226,1.7629559674988209,1.7315611512077524
6,1.8222875027024898,1.9670649886075253,1.9309663676326274,2.0359898675171966,2.014948755533968
7,2.157953415406293,2.272212137586983,2.2660440980488104,2.3587397585538827,2.334323066776377
8,2.531409659781663,2.622673683865135,2.6356070009505417,2.724007248210698,2.697934567537115
9,2.9436388085358285,3.0282235875493897,3.0316175667665486,3.1171609390545765,3.1045119908282897
