,ETHZ,FESOM,NorESM,MRI,IPSL
0,2.109906760650076,2.3027414470868823,2.219066213761603,2.105974604256888,2.1410911927616985
1,1.8350296805590915,1.9991383911921583,1.9881902978220312,1.8080056368508666,1.9456191780538938
2,1.836929402088601,2.083613222355808,2.0731687993718957,1.83622980491168,2.06806515676665
3,2.182928663905331,2.4565043966226225,2.435091973268456,2.252909685580031,2.531274157771927
4,2.746458875627286,3.0688326028273725,3.1077445016514105,2.8164886752730522,3.224764484055137
5,3.535954027848521,3.839105218123441,3.801069285512523,3.478868027439254,3.9185541720390606
6,4.051391080948843,4.229693075218092,4.137852886838461,4.0310901317683445,4.28537708730859
7,4.353980218612037,4.303797930921692,4.420414825676677,4.170549261430365,4.500279498290823
8,4.578318431238499,4.565777253989917,4.133138711302919,3.8933284522164326,4.380665901525732
9,4.735958065322048,4.725764924559013,4.767735167244421,4.65885679864636,4.8671382694436165
