,ETHZ,FESOM,MRI,NorESM,IPSL
0,2.4432885932586794,2.659988746050483,2.4288964142440523,2.6259732125584563,2.4870835278737067
1,2.6820175297097,2.898095268605772,2.6567792952524902,2.9912876778038617,2.8465940548457143
2,3.0401392814887513,3.4944400745607274,3.074339158458547,3.570544536040077,3.240935079955234
3,3.7317438560670997,4.272653894886346,3.7344017898294544,4.323058884864644,4.01629550538861
4,4.444781808736588,4.6316532426913914,4.3288439056671635,4.807634907293978,4.613245379373693
5,4.735003053184454,4.818499996622647,4.601953628317191,4.908198727298731,4.776021019489592
6,4.773264132802637,4.955867727119446,4.726313938667736,5.022577248691668,4.901440242548562
7,4.874599494581256,5.058467707274452,4.839923246590916,5.086093326556642,5.037686370748822
8,4.927645538117124,5.1157897977202955,4.935729584603717,5.147956657750386,5.133385606772645
9,4.9892886699498336,5.219553638891405,5.078202645726241,5.211621921701094,5.255815054526234
