,SOCAT
0,0.5735684019091084
1,0.7651234104960181
2,0.9880076166861336
3,1.2322386366152158
4,1.4928978923086706
5,1.7678651696884171
6,2.0558165877522283
7,2.376738646328579
8,2.726279593610273
9,3.0999843998211665
