A,B,C,lat_deg,lon_deg
-0.9099612708765432,-0.41114548447797095,-0.054128329903304816,-65.50000000000001,-82.5
-0.9025852843498605,-0.42460689608402274,-0.07105482582466353,-64.50000000000001,-80.5
-0.9025852843498605,-0.42330214869749705,-0.07845441595706044,-64.5,-79.49999999999999
-0.9025852843498605,-0.4218684593758581,-0.08583010811435184,-64.50000000000001,-78.49999999999999
-0.8949343616020251,-0.4372402602140894,-0.08895753634117315,-63.50000000000001,-78.49999999999999
-0.8949343616020251,-0.4356211433247525,-0.09657488240951279,-63.50000000000001,-77.49999999999999
-0.8949343616020251,-0.43386933201520206,-0.1041628108331286,-63.50000000000001,-76.49999999999999
-0.8949343616020251,-0.39212627379324533,-0.21290719533402477,-63.50000000000001,-61.499999999999986
-0.8870108331782217,-0.4470408303513615,-0.11561261965392051,-62.50000000000002,-75.49999999999999
-0.8870108331782217,-0.4449550254401288,-0.1233969495573176,-62.50000000000002,-74.49999999999999
-0.8870108331782217,-0.40957602214449584,-0.2132117818244769,-62.50000000000002,-62.5
-0.8870108331782217,-0.40579258305887905,-0.22032739584282215,-62.50000000000002,-61.499999999999986
-0.8788171126619654,-0.4598047124014311,-0.12751513222329208,-61.50000000000001,-74.49999999999999
-0.8788171126619654,-0.45750923600215343,-0.1355204097736291,-61.50000000000001,-73.49999999999999
-0.8788171126619654,-0.45507439785759796,-0.1434844064943333,-61.50000000000001,-72.5
-0.8788171126619654,-0.4232449894961626,-0.22032739584282215,-61.50000000000001,-62.5
-0.8788171126619654,0.4306764753089457,0.20542214123105026,-61.50000000000001,115.5
-0.8788171126619654,0.42702577049574636,0.21290719533402483,-61.50000000000001,116.5
-0.8703556959398997,-0.46963269621846493,-0.14807462033565352,-60.5,-72.50000000000001
-0.8703556959398997,-0.4669769104269695,-0.15624828854440284,-60.500000000000014,-71.5
-0.8703556959398997,-0.4406867643989928,-0.21971831564191346,-60.5,-63.5
-0.8703556959398997,0.476738707780759,0.12329301297520856,-60.5,104.5
-0.8703556959398997,0.4745143383931076,0.13159447254472445,-60.5,105.5
-0.8703556959398997,0.4721454273412581,0.13985584716311897,-60.5,106.5
-0.8703556959398997,0.46963269621846493,0.14807462033565355,-60.5,107.5
-0.8703556959398997,0.4669769104269695,0.1562482885444029,-60.500000000000014,108.5
-0.8703556959398997,0.4641788789448511,0.16437436201085043,-60.5,109.5
-0.8703556959398997,0.4612394540796045,0.17245036545429912,-60.5,110.5
-0.8703556959398997,0.44068676439899274,0.21971831564191352,-60.5,116.5
-0.8703556959398997,0.43678503232396254,0.22737589600203423,-60.5,117.5
-0.8703556959398997,0.43275025129685474,0.23496421546159316,-60.5,118.5
-0.8703556959398997,0.42858365035105617,0.24248096254497284,-60.5,119.5
-0.8616291604415257,-0.4813106355202657,-0.16104428587164915,-59.5,-71.5
-0.8616291604415257,-0.4784267192477615,-0.1694197868805623,-59.5,-70.5
-0.8616291604415257,-0.45421352084477473,-0.22646250762239856,-59.5,-63.5
-0.8616291604415257,0.47539706956195066,0.17774368098118523,-59.5,110.5
-0.8616291604415257,0.4722226093234765,0.18601343263473968,-59.5,111.5
-0.8616291604415257,0.4689043055036792,0.19422652279476102,-59.5,112.5
-0.8616291604415257,0.4654431688900475,0.20238044967442442,-59.5,113.5
-0.8616291604415257,0.46184025377832266,0.21047272950861362,-59.5,114.5
-0.8616291604415257,0.45809665765135005,0.21850089731049924,-59.5,115.5
-0.8616291604415257,0.4417389051108611,0.24992384757819558,-59.5,119.5
