,SOCAT
0,2.9392251099233118
1,2.821052384155599
2,2.9514181475001093
3,3.4206428460374303
4,3.8783475033004366
5,4.381860088702846
6,4.818828287501907
7,5.1519981280214555
8,5.276597205958299
9,5.371828627479177
