,SOCAT
0,3.1299858012681065
1,2.8342173140747757
2,2.79808412978871
3,3.0237362044234466
4,3.5046188962534943
5,3.9755989032580112
6,4.479928665194806
7,4.925357746500377
8,5.187882882259174
9,5.289122841776962
