,SOCAT
0,2.793917105718603
1,2.6793399217776317
2,2.8364253612758175
3,3.2480311105934954
4,3.70103381591753
5,4.220903785417119
6,4.728202775375539
7,4.920789788462834
8,5.136480563216115
9,5.218786462687742
