A,B,C,uot_weight,final_weight
-2.4129430600935993,-0.5228515442890977,-0.4528636475578349,2.0316797493930765,5.408328164314428
-2.4009251099620847,-0.5743785079408409,-0.3635484818653965,2.050286650506604,5.457859704594319
-2.4009251099620847,-0.5490723505894892,-0.48014560279304513,2.0350165147235537,5.417210628157424
-2.4009251099620847,-0.5285774871794285,-0.5313903533419589,2.008165350579888,1.8399839528954745
-2.3883625932405947,-0.6066347579677026,-0.37690090698832357,2.0333137462087065,5.412677861160602
-2.3883625932405947,-0.6051865739313765,-0.38809487168396345,2.02932025752406,5.402047200824744
-2.3883625932405947,-0.5883562358767512,-0.4656399898211322,2.011056141320842,5.353428153414498
-2.3883625932405947,-0.5775999440494226,-0.4982529723416873,2.009747814733991,5.349945390183772
-2.3883625932405947,-0.5735492958124087,-0.5090167792788473,2.015931122801379,1.847099351169455
-2.3883625932405947,0.9585170039577994,-0.45467284655712653,1.7272138675275603,2.8962690486305056
-2.3883625932405947,0.9613975054230973,-0.44366318476814753,1.7242933189475627,2.8913717428501986
-2.3752593365934187,-0.6382977718582097,-0.39115976076814424,2.017820612330853,5.371435164160684
-2.3752593365934187,-0.6365384565447287,-0.40280049342118845,2.005797248788132,5.339428990108247
-2.3752593365934187,-0.6135321352976353,-0.4946686434107271,1.9915738012202335,5.3015661959852585
-2.3752593365934187,-0.6053323123521599,-0.5171581552325376,1.9925286394130428,1.8256567972084445
-2.3752593365934187,-0.6008713190035507,-0.5283122911140984,1.9925848381727658,1.8257082893906156
-2.3752593365934187,-0.5961713918215844,-0.5394014771825123,1.9901127125247438,1.8234432012490494
-2.3752593365934187,-0.5912339624496098,-0.5504223355642796,1.991893959192186,1.8250752706816273
-2.3616193313994644,-0.6672395240249513,-0.4183860779233525,2.009744627681822,5.349936906256124
-2.3616193313994644,-0.6454027330152972,-0.5018492132382417,1.981987176040259,5.276046615462259
-2.3616193313994644,-0.6412645036003729,-0.5135738263015777,1.982400655400538,1.8163770194985023
