SOCAT90s,SOCAT2000s,SOCAT2010s,SOCAT201819,SOCAT202022
0.527671777331062,0.6402013184103128,0.6110080757321079,0.626027789621904,0.647225172771394
0.7294751708311472,0.8471609140734563,0.8064796362976512,0.8246391523274268,0.8514294525940378
0.9853273380126442,1.0930838958154954,1.03512518082213,1.0553655504984958,1.0888144734709235
1.273630513594468,1.3651596230229213,1.2887654971646274,1.3107867031240306,1.3455959641117727
1.5687593966618056,1.647725910845666,1.560950854517489,1.590029374161667,1.6127537351450054
1.8689097218657063,1.9477992477624175,1.8511276641888097,1.897681755639957,1.8945102581291904
2.184591945909689,2.2608913785562237,2.174692338498958,2.224769497373153,2.1949512204105917
2.52801865179506,2.5834951668938557,2.5273890649810866,2.5569048256886693,2.521194364176514
2.9087542043589587,2.9322503153350583,2.890545452241187,2.903927798438662,2.8722729330053616
3.329233420238515,3.3155216129216387,3.2777571786211066,3.286344954825261,3.2537198102928198
