,Unnamed: 0,ETHZ,FESOM,NorESM,MRI,IPSL
0,0,2.435278528635128,2.70518584360709,2.777046912641585,2.50118804491576,2.6234355357032904
1,1,2.684299558773782,3.028903642561257,3.0854074505282627,2.799484662917414,3.0016231361555104
2,2,3.155634864985215,3.5425396942262597,3.684486675035528,3.266926346168649,3.5549812782666117
3,3,3.7349513278066,4.1347905848601085,4.293363636060648,3.866729673253576,4.211487192281784
4,4,4.12919875509097,4.442893612312415,4.59453192614179,4.342923335232452,4.6894830198480335
5,5,4.191293228675059,4.742971965032891,4.6759553401487945,4.635165896891878,4.931149694007618
6,6,4.75630255378937,5.031317411275959,4.983951498442534,4.911290656946863,5.058413632411539
7,7,4.795150773496047,5.073893420482723,5.016750842283624,5.001495444520871,5.182090992959536
8,8,4.841158528335538,5.04325386974003,4.9831370576654725,5.0078743574937965,5.221949929479597
9,9,4.869281997243671,5.088898118100624,5.013936737523211,5.078525232260436,5.353019597363629
