,ETHZ,FESOM,MRI,NorESM,IPSL
0,2.379489335406542,2.6368133308255643,2.445108861410496,2.631241058810934,2.5550013228628963
1,2.4078156578101044,2.7042805407622064,2.4322670418939376,2.7601015153418693,2.645481839850924
2,2.492692819923657,2.9086761884180303,2.6830235317072653,3.0954764344747234,2.9553130510275656
3,2.9076211174113853,3.503743861362018,3.130992094303685,3.7188479616876293,3.529504858299129
4,3.7304403550121057,4.286189374404348,3.8141537725247616,4.434882965612838,4.277351946915936
5,4.230148433294061,4.6228231493609195,4.296537230975373,4.771136644923741,4.532496242236433
6,4.2180206464398955,4.68052743092613,4.3679670980890215,4.8534348609918085,4.587732346824109
7,4.245984219063395,4.712246965529427,4.495903334304194,4.779232856799297,4.717919471035915
8,4.356788269781771,4.7028788593271456,4.68439381272826,4.9334291619371795,4.715320385159895
9,4.350071170637121,4.696377419350522,4.856090641072864,5.060725405560603,4.919200720908964
