,SOCAT
0,0.6491054957725241
1,0.8532808184572114
2,1.0883970409959163
3,1.3432049478198596
4,1.6110404704531578
5,1.893575625019242
6,2.195458638357956
7,2.522387768323736
8,2.8722589356079755
9,3.2531546381920298
