,ETHZ,FESOM,NorESM,MRI,IPSL
0,2.1228333304361735,2.298705739368482,2.218153926004394,2.123340842524165,2.163807058963256
1,1.8453368500158247,2.0040263164217755,1.9854619910680047,1.810796283947391,1.9403122162923971
2,1.823671514627902,2.0777575957312076,2.0431473551623345,1.811432493044966,2.03768532834723
3,2.1094336492552834,2.4164697313499923,2.3503996202934934,2.1959328826334374,2.4611540781343644
4,2.6444811929528074,3.017795827529306,2.9210592738176633,2.7190196952965637,3.125912200400343
5,3.4184302004357736,3.7473990236452375,3.677999554129171,3.3977814608291084,3.8342851629585786
6,3.9712315868269945,4.14041111097738,4.0387345362317,3.9261563177828513,4.198692928376638
7,4.1911960219785405,4.2208902812532925,4.326679746998563,4.071623752611368,4.429168084971577
8,4.393656325051999,4.469127138568292,3.9903463814795543,3.8023517154153375,4.297831942682358
9,4.5819273026062595,4.620085238352448,4.548333075742615,4.545802383799775,4.7828577352578
