A,B,C,lat_deg,lon_deg
-0.008726535498373935,-0.16504132135358063,-0.986248046803673,-0.5,-9.5
0.13052619222005157,-0.7071484926864755,-0.6949128883793851,7.499999999999999,-45.5
0.07845909572784494,0.52088787601601,0.8500117592816576,4.5,148.5
0.3987490689252462,-0.7819222525463083,0.47916257262452855,23.5,-121.49999999999999
0.5224985647159488,0.5869187585534137,0.6184833229181632,31.500000000000007,136.5
0.5224985647159488,0.6081459801924515,0.5976233903099307,31.499999999999993,134.5
-0.8870108331782217,-0.42345121760054805,-0.18412182960499338,-62.50000000000001,-66.5
0.06104853953485687,0.5215239995684684,0.8510498185739592,3.5000000000000004,148.5
0.7933533402912352,-0.13176008867505531,-0.5943313524298387,52.50000000000001,-12.5
0.008726535498373935,-0.46173103126271875,-0.8869770585236474,0.5000000000000001,-27.5
-0.18223552549214747,0.651524414258388,0.7364143880138854,-10.5,138.5
0.3007057995042731,0.5538262522111203,0.7764357697236008,17.5,144.5
-0.9304175679820246,-0.3633657579230024,0.047838009568300345,-68.50000000000001,-97.49999999999999
0.25038000405444144,-0.5343564899672755,0.8073245909790874,14.500000000000005,-146.5
0.43051109680829514,0.5494591075030638,0.7160690502366761,25.5,142.5
0.5075383629607041,0.5931063751410919,0.6250037103011172,30.500000000000004,136.5
0.9426414910921784,-0.22551664533327478,0.24610823218482655,70.5,-137.5
0.13052619222005157,-0.6569512418467595,-0.7425483007727746,7.499999999999999,-41.5
0.8433914458128857,-0.4204950561658317,-0.33447687045555835,57.5,-51.5
0.8433914458128857,0.07941793870991447,-0.5313978360331538,57.5,8.5
-0.7132504491541816,0.3969993788178316,0.5776376805572971,-45.500000000000014,145.5
0.35020738125946743,0.04085706705716323,0.935780684873797,20.5,177.5
0.14780941112961063,0.5313978360331537,0.8341275189326864,8.5,147.5
0.6225146366376195,0.04777708500390606,-0.781148434883193,38.5,3.5
0.8616291604415257,0.03098447581666309,-0.5065917016051468,59.500000000000014,3.5
0.77162458338772,-0.32283409863473445,0.5480635429130697,50.5,-149.5
0.77162458338772,-0.2018305811319984,-0.6032080228508632,50.5,-18.5
