,ETHZ,FESOM,NorESM,MRI,IPSL
0,0.35424518289558216,0.37933925596020807,0.3745888174789285,0.32598226544457337,0.42303098613582885
1,0.522927420401733,0.5453814688429565,0.5445817387426655,0.4871052474686896,0.6155042304335293
2,0.7527514364268428,0.76168923460881,0.764984314469659,0.707406861543157,0.8582922407265687
3,1.0309220559333625,1.0136811480324188,1.0218890933033982,0.9689050108836086,1.1342305551097132
4,1.3348952861781167,1.2815303051492646,1.2931863547927118,1.2501573133188801,1.4210915896947254
5,1.6517915046860645,1.55149248067071,1.5690717765549294,1.5425501425689394,1.7112119848016456
6,2.0053718333114414,1.8340553739804097,1.8652555866415619,1.8480399852180884,2.021109198182164
7,2.379907662541038,2.150998954261905,2.191872776768242,2.1828166833212554,2.3641041899556097
8,2.7567082041436377,2.506577191715266,2.636867081424046,2.6540896131286456,2.7931851086797326
9,3.1718108560021756,2.9027918333113956,3.1259918404462463,3.1795129376759714,3.277603980978044
