,SOCAT
0,0.5338028560151284
1,0.7017410770170369
2,0.905046497312192
3,1.139609793403543
4,1.3937372801324828
5,1.6620766131220226
6,1.945818361628478
7,2.2490198666089847
8,2.577485437763776
9,2.9314566928435757
