,ETHZ,FESOM,NorESM,MRI,IPSL
0,0.7193087380444888,0.7910515640313981,0.7876180930346566,0.7431480601689325,0.8317361288054564
1,0.9274768779071662,0.9984331887165283,0.990834776541732,0.9540721587870091,1.048073052702849
2,1.1381862479756295,1.2051434592146617,1.1896976592024333,1.167464193004629,1.2617493057865363
3,1.3523017747516701,1.4175559093245598,1.389511604675668,1.3839353435546349,1.4787030773541687
4,1.5876902486365154,1.6470013795147709,1.607009548546762,1.6140387138658827,1.7114489263029313
5,1.845478601610455,1.898326199057791,1.8524749006527685,1.8660744301927852,1.9667859310805196
6,2.125789603530969,2.1745069408071385,2.127835845609046,2.1446817421825553,2.247182573899109
7,2.444776864530198,2.485020671186527,2.4390525183297767,2.4558517347512967,2.5594013531301543
8,2.8106683819969014,2.837948422874321,2.791597487780424,2.804663550293789,2.9072410401344135
9,3.2228606112318734,3.243249584147,3.188075617748861,3.19961605628645,3.2915982892583715
